customer_id,first_name,last_name,email,phone_number,address,city,country,postal_code,loyalty_points
1,Mic,Osgar,mosgar0@joomla.org,513-717-6409,4 Dapin Plaza,Ciketak,Indonesia,,265
2,Lev,Instock,linstock1@163.com,791-889-3162,6 Nevada Alley,Valerik,Russia,366609,475
3,Ottilie,Hultberg,ohultberg2@live.com,445-605-0660,61 Lake View Way,Parikkala,Finland,59101,825
4,Agnola,Zanassi,azanassi3@opera.com,583-778-8766,8675 Bunting Circle,Nanniu,China,,164
5,Marsha,Partlett,mpartlett4@diigo.com,502-101-0397,9979 Dorton Way,Riachão das Neves,Brazil,47970-000,382
6,Brena,Yarrington,byarrington5@google.com.br,267-578-2703,61 Brown Court,Campo Belo,Brazil,37270-000,741
7,Clea,Sygrove,csygrove6@bbb.org,104-892-5233,6 Mosinee Trail,Boguchwała,Poland,36-040,39
8,Wilbert,Leirmonth,wleirmonth7@nifty.com,360-462-2928,0182 Rockefeller Way,Koutsopódi,Greece,,158
9,Aili,Ponte,aponte8@edublogs.org,530-537-1591,499 Glendale Park,Cekcyn,Poland,89-511,540
10,Mari,Workes,mworkes9@posterous.com,594-107-4512,4200 Northport Center,Phu Khiao,Thailand,36110,708
11,Harriot,Meldrum,hmeldruma@ovh.net,514-850-3673,81585 Northland Trail,Bual,Philippines,9410,732
12,Brose,Rainford,brainfordb@ucsd.edu,420-193-0751,8187 Oak Court,Estevan,Canada,S4A,117
13,Bailey,Suggitt,bsuggittc@51.la,674-631-3255,15 Springview Court,Creil,France,60109 CEDEX 1,768
14,Chrisy,Dewdney,cdewdneyd@senate.gov,432-980-0794,98022 Fuller Trail,Tubod,Philippines,9209,5
15,Lula,Meadowcroft,lmeadowcrofte@bandcamp.com,670-456-7213,24 Barnett Terrace,Arrepiado,Portugal,2140-605,980
16,Emery,Bickell,ebickellf@mac.com,199-397-5985,503 Spenser Parkway,Ramenki,Russia,141662,278
17,Gregorius,Pearse,gpearseg@samsung.com,825-126-5441,61864 Gale Place,Yegor’yevsk,Russia,140306,129
18,Dede,Tissiman,dtissimanh@bloglines.com,108-964-9205,5 Lotheville Hill,Ogwashi-Uku,Nigeria,,107
19,Fara,Origan,forigani@businesswire.com,976-178-0788,887 Division Park,Mataquescuintla,Guatemala,06005,17
20,Kort,Rumke,krumkej@dion.ne.jp,446-707-3353,5 Erie Lane,Sujiatun,China,,574
