order_id,customer_id,product_id,quantity,unit_price,total_price,order_date,shipping_address,payment_method,status
1,39,469,43,85.99,2758.02,2021-04-14,98 Fremont Street,PayPal,shipped
2,579,984,5,125.98,5404.36,2022-08-27,17114 Declaration Trail,PayPal,processing
3,716,182,66,761.64,7626.3,2022-12-23,4 Claremont Way,PayPal,pending
4,738,988,18,604.98,6123.13,2022-01-22,0948 Monica Junction,PayPal,processing
5,536,11,70,645.64,4382.41,2020-01-09,1029 Golf View Point,Apple Pay,pending
6,821,542,35,269.98,3820.64,2021-02-17,1 Debra Point,Apple Pay,pending
7,971,684,89,92.34,2049.28,2020-08-11,9245 Transport Alley,PayPal,processing
8,388,116,83,852.54,9357.22,2021-11-28,90095 Loeprich Park,PayPal,shipped
9,837,700,70,858.89,8041.9,2021-06-20,605 Annamark Junction,Apple Pay,pending
10,489,761,3,533.37,9939.98,2021-09-30,6421 5th Junction,PayPal,pending
11,456,760,2,875.27,3453.83,2021-03-30,04658 Messerschmidt Pass,Apple Pay,shipped
12,96,763,54,359.0,8664.48,2020-02-02,7 Alpine Lane,Apple Pay,processing
13,553,802,12,696.12,8359.83,2020-05-17,1850 Northport Park,credit card,delivered
14,212,108,37,705.54,3775.49,2022-02-25,66 Chinook Junction,credit card,shipped
15,767,5,2,139.06,8854.37,2021-04-21,754 Vermont Crossing,credit card,pending
16,87,328,46,201.12,5339.18,2022-03-31,820 Corscot Way,PayPal,shipped
17,526,395,20,891.61,7599.61,2020-02-19,0 Saint Paul Circle,PayPal,pending
18,878,570,82,86.32,9171.58,2022-02-09,14 Westerfield Trail,credit card,pending
19,309,622,88,748.63,3264.58,2020-10-16,64 Butternut Street,PayPal,processing
20,355,674,84,123.76,6407.84,2021-12-12,8707 Red Cloud Lane,PayPal,delivered
21,406,68,63,149.57,8729.12,2020-01-25,95635 Sutteridge Pass,Apple Pay,delivered
22,899,270,10,647.63,3360.54,2022-03-25,7491 Bultman Point,credit card,processing
23,432,560,75,979.21,3353.08,2022-06-22,67 Laurel Park,Apple Pay,pending
24,213,781,12,745.5,8698.74,2022-01-11,5083 Bayside Junction,PayPal,processing
25,602,641,27,791.14,3545.01,2022-09-19,3 Dennis Center,Apple Pay,pending
26,423,630,74,863.49,5131.68,2022-10-08,4 Michigan Circle,PayPal,processing
27,269,293,65,249.26,4336.12,2022-08-21,47 Hanson Terrace,PayPal,delivered
28,116,340,43,261.19,7499.68,2020-05-05,78420 Kenwood Drive,credit card,processing
29,373,402,92,546.89,436.33,2020-03-12,0978 Meadow Valley Circle,Apple Pay,pending
